Client ID, PESEL, Address, Contact Number
kSBmH6GcPQcQ2vZ1,53537722379,Gerald Nolan,"077 Lopez Avenue Apt. 406 Lake Ryan, CT 89814",+48752739474
ncDf7gIndkRSxG0N,79412392849,Leslie Waters,Unit 4683 Box 1938 DPO AE 32729,+48767975164
2u4iK6IaUmseGZod,64339561272,Carla Warren,"677 Williams Common East Markville, NH 08046",+48415658366
lOhpMkfbxMy1aOhE,26616772581,Ebony Duran,"2125 Sandra Roads Jenniferfurt, OK 18556",+48639951767
MzDwCHJ86hyIFQnp,74193511942,John Gonzalez,"373 Miles Key Suite 118 Evanschester, DE 88692",+48269375883
jlcemmzObFcS4a9d,48451815614,Theresa Brown,"656 Luna Expressway Apt. 384 Erinview, MD 52684",+48913518855
T5qq6QcJQzb3dgbW,72172578985,Bryan Miller,USNS Mckinney FPO AA 13978,+48555498583
mAb2DJwuWgxyUTUV,34591688476,Jessica Smith,"68122 Norton Stravenue Harveyborough, LA 70100",+48749921348
VBgndSCt2JI2EVy7,64717222169,Calvin Mitchell,"757 Anderson Route Stacyborough, NJ 24478",+48854573184
jsgy34woGLgVDwWY,27838599617,Justin Owens,"47193 Paul Lake South Sheila, LA 67704",+48394966891
T2fqnPcuUqUTOzGl,73179134398,Sheryl King,Unit 1422 Box 5931 DPO AE 36076,+48727215166
1tgMth535FZnJUmd,75641954363,Sheila Mahoney,"656 Burnett Valley Apt. 615 Thomasfurt, OK 33935",+48576623569
rL1GzflNqoOJAAoQ,67456132285,Robert Phillips,"PSC 5734, Box 6918 APO AA 82935",+48846597527
5cUyFL0qOZlYte5k,27218454436,Stephanie Duarte,"761 Gallegos Plains Apt. 125 South Sabrina, KS 50060",+48628874849
A9UqqiY9FBrzCKp5,42668958534,Lori Gonzalez,"4635 Smith Park Sullivanhaven, SC 76731",+48346655183
l88kx7IyPWY6dbcS,77745841873,Susan Gomez,"71787 David Square North Kellybury, WY 94339",+48854333583
kzotRaDA7tWA3Kpr,87719578521,Carla Sandoval,"0748 Jim Falls Robinsonfort, DC 33964",+48466552411
ToYs3zkcznefqgfn,49974491234,Sandra Banks,"2316 Little Manors Morrisbury, MN 87370",+48116268219
R4UKTuobqoOCGf3M,96643218993,Patrick Edwards,"707 Anderson Springs Sarahstad, NC 32028",+48647327197
Cq4zupUNtBLUa4wD,27758223648,Kyle Zimmerman,"812 Jones Vista Apt. 396 South Billy, ID 65556",+48717792599
12,28341845849,Lauren Green,Podlasie,Johaven,03178,1501 Larry Loop,+48871959742
